1	2.7323955e-01	2.7323955e-01	1.5117361e-01
2	1.5117361e-01	1.5117368e-01	7.8417070e-02
3	1.0347428e-01	1.0347428e-01	5.2695032e-02
4	7.8417070e-02	7.8416996e-02	3.9636169e-02
5	6.3053980e-02	6.3054137e-02	3.1752307e-02
6	5.2695032e-02	5.2694958e-02	2.6480084e-02
7	4.5246463e-02	4.5246616e-02	2.2707542e-02
8	3.9636169e-02	3.9636016e-02	1.9874988e-02
9	3.5260271e-02	3.5260499e-02	1.7670279e-02
10	3.1752307e-02	3.1752080e-02	1.5905585e-02
11	2.8878143e-02	2.8878447e-02	1.4461152e-02
12	2.6480084e-02	2.6479781e-02	1.3257141e-02
13	2.4449525e-02	2.4449753e-02	1.2238153e-02
14	2.2707468e-02	2.2707239e-02	1.1364572e-02
15	2.1197367e-02	2.1197520e-02	1.0607332e-02
16	1.9874912e-02	1.9874761e-02	9.9447276e-03
17	1.8708067e-02	1.8708220e-02	9.3599875e-03
18	1.7670203e-02	1.7670050e-02	8.8402098e-03
19	1.6741656e-02	1.6741809e-02	8.3750738e-03
20	1.5905509e-02	1.5905358e-02	7.9564592e-03
21	1.5149084e-02	1.5149236e-02	7.5776875e-03
22	1.4461152e-02	1.4461000e-02	7.2333701e-03
23	1.3833058e-02	1.3833286e-02	6.9189537e-03
24	1.3257141e-02	1.3256914e-02	6.6307196e-03
25	1.2727327e-02	1.2727554e-02	6.3655567e-03
26	1.2238153e-02	1.2237926e-02	6.1208084e-03
27	1.1785216e-02	1.1785519e-02	5.8941217e-03
28	1.1364572e-02	1.1364268e-02	5.6836763e-03
29	1.0972954e-02	1.0973334e-02	5.4877256e-03
30	1.0607407e-02	1.0607028e-02	5.3048283e-03
31	1.0265347e-02	1.0265727e-02	5.1336940e-03
32	9.9448031e-03	9.9444240e-03	4.9732607e-03
33	9.6434960e-03	9.6439514e-03	4.8225410e-03
34	9.3600638e-03	9.3596084e-03	4.6807006e-03
35	9.0926792e-03	9.0931347e-03	4.5469808e-03
36	8.8402862e-03	8.8398308e-03	4.4206982e-03
37	8.6013610e-03	8.6017400e-03	4.3012458e-03
38	8.3751502e-03	8.3747711e-03	4.1880924e-03
